Time Taken(s), Train Losses
11540, 0.68240883306046007
12033, 0.67138921848011834
14311, 0.66102270445247346
15937, 0.65131878592003423
12361, 0.64221266919057718
13147, 0.63364402372066353
15692, 0.62556193743354183
16057, 0.61792339136468799
13028, 0.61069159801842177
15221, 0.60383469788266497
13064, 0.59732477013336227
12949, 0.59113708301405332
18432, 0.58524952348422787
14042, 0.5796421603634383
19972, 0.57429690677276113
15173, 0.56919725648195463
18907, 0.56432807538684993
14224, 0.55967543427290811
14115, 0.55522647267473058
14839, 0.55096928633568876
14028, 0.54689283275116141
15555, 0.54298685072862818
15848, 0.53924179095736147
14471, 0.53564875535364254
16804, 0.53219944351123272
15955, 0.52888610499810673
13823, 0.52570149654060727
12291, 0.5226388433559841
15685, 0.51969180405552284
15055, 0.51685443865961855
14859, 0.51412117935451196
12093, 0.51148680368683974
17320, 0.50894640994226181
16510, 0.5064953944930719
14224, 0.50412943092972362
13157, 0.50184445081492934
14768, 0.49963662591823632
13156, 0.49750235180466607
12426, 0.49543823266413745
13505, 0.49344106727957093
15864, 0.49150783604114229
13455, 0.48963568892260434
13375, 0.48782193434292542
12100, 0.48606402884318117
12952, 0.48435956751452358
15825, 0.48270627511838815
14990, 0.48110199784503715
15413, 0.47954469566086011
15371, 0.47803243519896998
13367, 0.47656338315129343
13937, 0.47513580012372114
16093, 0.47374803491900558
12125, 0.47239851921492237
14076, 0.47108576260780938
11949, 0.46980834799400062
14543, 0.46856492726385562
14012, 0.46735421728510451
11618, 0.46617499615406421
14180, 0.4650260996950093
14408, 0.46390641818949224
11967, 0.46281489331886161
11725, 0.46175051530457645
13474, 0.4607123202320127
12975, 0.45969938754471562
12694, 0.45871083769690568
11692, 0.45774582995312674
12361, 0.45680356032465974
12118, 0.45588325963321963
13740, 0.45498419169307514
12621, 0.45410565160348865
12468, 0.45324696414392068
13692, 0.45240748226504401
15493, 0.45158658566909687
13485, 0.45078367947363379
12631, 0.44999819295310195
13941, 0.4492295783531508
16763, 0.44847730977287686
16369, 0.44774088211062585
12759, 0.44701981006923813
13753, 0.44631362721692608
14605, 0.44562188510025802
16246, 0.4449441524059643
19217, 0.44428001416849972
13219, 0.44362907102051241
11934, 0.44299093848360427
12206, 0.44236524629686552
16106, 0.44175163778093351
14766, 0.44114976923539923
12661, 0.44055930936758747
14576, 0.43997993875082536
11967, 0.43941134931047043
13494, 0.43885324383607582
12720, 0.43830533551815004
13144, 0.43776734750812696
14414, 0.43723901250017655
15495, 0.43672007233364407
12777, 0.43621027761493891
12331, 0.43570938735777942
12015, 0.43521716864078486
12774, 0.43473339628143848
