Time Taken(s), Train Losses
23141, 0.68240883306045996
23837, 0.67138036114136046
22076, 0.66099800211074455
23195, 0.65127332700539364
25562, 0.64214303249766913
22557, 0.6335478211909702
23796, 0.62543750963441413
22175, 0.61776961076565329
22114, 0.61050774254246543
26944, 0.60362036864412172
24944, 0.59707983611421633
23748, 0.59086164166137778
24154, 0.58494387043876817
23730, 0.57930676431106709
24961, 0.5739323871841131
24664, 0.56880436309554017
22553, 0.56390766892968691
27524, 0.55922846826247685
30227, 0.55475397631697509
26770, 0.55047234859904992
24323, 0.54637258770330088
24560, 0.54244446420028847
22527, 0.53867844856417457
25232, 0.53506565187198996
24433, 0.53159777357333393
23414, 0.5282670550468529
25877, 0.52506623796660579
25650, 0.5219885267274319
22853, 0.51902755434506354
26001, 0.51617735137009602
25247, 0.51343231744673079
25067, 0.51078719521592453
23570, 0.50823704631445676
25801, 0.50577722926105817
24385, 0.50340337905131183
24681, 0.50111138830703927
26363, 0.49889738984498899
25109, 0.49675774054510441
25377, 0.49468900641143126
24719, 0.49268794872941013
26138, 0.49075151123244193
25412, 0.48887680819848178
26083, 0.48706111340438574
24582, 0.48530184987181368
23103, 0.48359658034402919
23821, 0.48194299843785238
22729, 0.48033892041951814
26798, 0.47878227755727992
25043, 0.47727110900732073
26496, 0.47580355519294548
25481, 0.47437785164018742
27113, 0.47299232323581619
24863, 0.47164537887639413
29673, 0.47033550647948896
24702, 0.46906126833034201
22211, 0.46782129673942524
24258, 0.46661428998815591
26492, 0.46543900854185261
23002, 0.46429427151057912
25672, 0.46317895334004222
25960, 0.46209198071606417
32816, 0.46103232966740415
23032, 0.45999902285288641
30599, 0.45899112701983558
23983, 0.45800775062181698
25270, 0.45704804158458195
23203, 0.45611118520996213
23496, 0.4551964022082064
23967, 0.45430294684997374
26273, 0.45343010522986071
28963, 0.45257719363390764
26261, 0.45174355700412383
28752, 0.45092856749354127
25649, 0.45013162310582899
23448, 0.44935214641386978
27242, 0.44858958335215959
24466, 0.44784340207823359
23248, 0.44711309189865889
27053, 0.44639816225546719
23463, 0.44569814176917699
25835, 0.44501257733484134
24508, 0.44434103326778374
22581, 0.44368309049591614
26096, 0.44303834579580614
24528, 0.44240641106973821
24714, 0.44178691266131997
22234, 0.44117949070728268
26425, 0.44058379852328777
26671, 0.43999950202173282
24415, 0.43942627915963495
23123, 0.43886381941484515
24258, 0.43831182328890506
23439, 0.43777000183503867
26769, 0.43723807620980149
28415, 0.43671577724704397
22527, 0.43620284505291262
24695, 0.43569902862072452
23985, 0.43520408546456668
23956, 0.43471778127061145
26040, 0.43423988956514303
